~a	 ~ a |
apedekonaha	 a p e d e k o n a h a |
mainaha	 m a i n a h a |
paidu~ga	 p a i d u ~ g a |
yeeduti.	 y e e d u t i . |
yeedo	 y e e d o |
ihidi'itha.	 i h i d i ' i t h a . |
wehetuatha,	 w e h e t u a t h a , |
wehetuatha	 w e h e t u a t h a |
pekana'asee	 p e k a n a ' a s e e |
pekasee,	 p e k a s e e , |
seepe'o	 s e e p e ' o |
~u:hana	 ~ u : h a n a |
esu:'u:tha	 e s u : ' u : t h a |
apedekotha	 a p e d e k o t h a |
~u:kadeko,	 ~ u : k a d e k o , |
~u:kadekona'anaha	 ~ u : k a d e k o n a ' a n a h a |
pu:ariapu:	 p u : a r i a p u : |
~u:haku:'u:naha.	 ~ u : h a k u : ' u : n a h a . |
ba'u:~gu:'u:	 b a ' u : ~ g u : ' u : |
yeedo'odo	 y e e d o ' o d o |
esanaha	 e s a n a h a |
yeedo'o	 y e e d o ' o |
~u:hape'o,	 ~ u : h a p e ' o , |
kumusaana	 k u m u s a a n a |
esa.	 e s a . |
paka	 p a k a |
yu:'u:naha	 y u : ' u : n a h a |
ke'noari'i	 k e ' n o a r i ' i |
"ke'noarenaha,	 " k e ' n o a r e n a h a , |
mai.	 m a i . |
apeekina	 a p e e k i n a |
yepaka	 y e p a k a |
tinidu:a~gu:	 t i n i d u : a ~ g u : |
~punino	 ~ p u n i n o |
bu:oaga	 b u : o a g a |
"bu:o	 " b u : o |
tiado	 t i a d o |
tinika'~ga,	 t i n i k a ' ~ g a , |
mai,""	 m a i , " " |
paku:re."	 p a k u : r e . " |
mainenaha	 m a i n e n a h a |
tinini	 t i n i n i |
wa'u:tha	 w a ' u : t h a |
ni'inaha.	 n i ' i n a h a . |
kueda	 k u e d a |
yee	 y e e |
~o'osa'a	 ~ o ' o s a ' a |
yu:'u:~gu:'u:naha	 y u : ' u : ~ g u : ' u : n a h a |
seinaha	 s e i n a h a |
~keete~iga	 ~ k e e t e ~ i g a |
satu'aro	 s a t u ' a r o |
thu:'othu'unaha	 t h u : ' o t h u ' u n a h a |
ti'inaha.	 t i ' i n a h a . |
siodo	 s i o d o |
ihiedatiari	 i h i e d a t i a r i |
ihimeedi'i	 i h i m e e d i ' i |
yeemasienda~gu:	 y e e m a s i e n d a ~ g u : |
bahuri'i	 b a h u r i ' i |
sei	 s e i |
yu:'u:~gu:naha.	 y u : ' u : ~ g u : n a h a . |
yeeku:tha	 y e e k u : t h a |
~u:'karia~ga	 ~ u : ' k a r i a ~ g a |
~umupikoni	 ~ u m u p i k o n i |
~keewei	 ~ k e e w e i |
yu:'u:~gu:'u:naha.	 y u : ' u : ~ g u : ' u : n a h a . |
~keeweini'i	 ~ k e e w e i n i ' i |
~kenoano	 ~ k e n o a n o |
wihakari'i	 w i h a k a r i ' i |
yu:'u:re,	 y u : ' u : r e , |
~ko'aku:	 ~ k o ' a k u : |
me'nanaha.	 m e ' n a n a h a . |
ti'are	 t i ' a r e |
yepoa,	 y e p o a , |
yepoa	 y e p o a |
wa'u:taha	 w a ' u : t a h a |
masa	 m a s a |
buhekinari	 b u h e k i n a r i |
yeda'a	 y e d a ' a |
meendeye.	 m e e n d e y e . |
niidi'i	 n i i d i ' i |
paku:	 p a k u : |
sei,	 s e i , |
~ke'noane	 ~ k e ' n o a n e |
yu:'u:renaha	 y u : ' u : r e n a h a |
Miale	 M i a l e |
o'õpU	 o ' õ p U |
kamekua	 k a m e k u a |
ñamikale	 ñ a m i k a l e |
alibodo	 a l i b o d o |
sinitu	 s i n i t u |
bUdo	 b U d o |
thuoduayo	 t h u o d u a y o |
doutora	 d o u t o r a |
yegu	 y e g u |
yU'Ug~U	 y U ' U g ~ U |
ahpedo	 a h p e d o |
khano	 k h a n o |
yerosa'a	 y e r o s a ' a |
numia	 n u m i a |
Uoedalikido	 U o e d a l i k i d o |
wa'alide	 w a ' a l i d e |
ya'utha	 y a ' u t h a |
ni'ikhakido	 n i ' i k h a k i d o |
UmUno	 U m U n o |
buhkU	 b u h k U |
wa'mUno	 w a ' m U n o |
khamedakhoaga	 k h a m e d a k h o a g a |
U'Usua	 U ' U s u a |
batianiaye	 b a t i a n i a y e |
pinono	 p i n o n o |
i'yaka'do	 i ' y a k a ' d o |
buhulikido	 b u h u l i k i d o |
i'yado	 i ' y a d o |
uhsuadota	 u h s u a d o t a |
nimayeto	 n i m a y e t o |
iedaye	 i e d a y e |
ti'i	 t i ' i |
pi'opUli	 p i ' o p U l i |
yoaliphe	 y o a l i p h e |
ihiduhkume	 i h i d u h k u m e |
yUhsUayede	 y U h s U a y e d e |
i'iaye	 i ' i a y e |
ña'mu	 ñ a ' m u |
kanU	 k a n U |
bo'dopU	 b o ' d o p U |
~namika'bodopU	 ~ n a m i k a ' b o d o p U |
soepeo	 s o e p e o |
kahsalio	 k a h s a l i o |
bu'i	 b u ' i |
peo	 p e o |
namotido	 n a m o t i d o |
mahkanonie	 m a h k a n o n i e |
thia	 t h i a |
yUhsualile	 y U h s u a l i l e |
neediho	 n e e d i h o |
yaka'ã	 y a k a ' ã |
yo'yewahsoli	 y o ' y e w a h s o l i |
neeka'a	 n e e k a ' a |
bu'e	 b u ' e |
yuhkUsa'a	 y u h k U s a ' a |
ahkobehsa	 a h k o b e h s a |
si~obUduawaye	 s i ~ o b U d u a w a y e |
kowatedo	 k o w a t e d o |
petiaye	 p e t i a y e |
tiepe	 t i e p e |
dohkape	 d o h k a p e |
pUana	 p U a n a |
Uhsapa	 U h s a p a |
dohkey~opa'asaduhkuaye	 d o h k e y ~ o p a ' a s a d u h k u a y e |
dohkey~o	 d o h k e y ~ o |
pa'asagU	 p a ' a s a g U |
pUado	 p U a d o |
bUdUmataye	 b U d U m a t a y e |
pehkas~a	 p e h k a s ~ a |
ke'noaina	 k e ' n o a i n a |
ei	 e i |
nia	 n i a |
do'se	 d o ' s e |
pa'asU	 p a ' a s U |
nialimU	 n i a l i m U |
semu	 s e m u |
yu'u	 y u ' u |
~o	 ~ o |
pa'asaha	 p a ' a s a h a |
tinape	 t i n a p e |
~nawetusaye	 ~ n a w e t u s a y e |
wahk~unone	 w a h k ~ u n o n e |
alido	 a l i d o |
malime'ne	 m a l i m e ' n e |
sanuduadota	 s a n u d u a d o t a |
eheliponati	 e h e l i p o n a t i |
~natu'saye	 ~ n a t u ' s a y e |
no'o	 n o ' o |
wa'ahali	 w a ' a h a l i |
mU'U,	 m U ' U , |
Uhs~a	 U h s ~ a |
wa'ana	 w a ' a n a |
niadale	 n i a d a l e |
te'e	 t e ' e |
temedawipU	 t e m e d a w i p U |
bohsedehko	 b o h s e d e h k o |
Udionawa	 U d i o n a w a |
niaye--	 n i a y e - - |
la	 l a |
temedavi(	 t e m e d a v i ( |
cidade	 c i d a d e |
encantada	 e n c a n t a d a |
waereni	 w a e r e n i |
kametanakoteita	 k a m e t a n a k o t e i t a |
kenoahti'ado	 k e n o a h t i ' a d o |
haU	 h a U |
waUtha	 w a U t h a |
nUapa	 n U a p a |
yUhkUsa	 y U h k U s a |
siõnUhUo	 s i õ n U h U o |
siõnUhUopo	 s i õ n U h U o p o |
saena	 s a e n a |
wawali	 w a w a l i |
so'õpU	 s o ' õ p U |
gaaa	 g a a a |
ka'akUno	 k a ' a k U n o |
ehseita	 e h s e i t a |
kahpedi	 k a h p e d i |
pioaye	 p i o a y e |
wale	 w a l e |
duhka	 d u h k a |
õ'osa	 õ ' o s a |
pUta,	 p U t a , |
tcho!	 t c h o ! |
kenoida'ye,	 k e n o i d a ' y e , |
pehkasa	 p e h k a s a |
sa'a	 s a ' a |
ihiye	 i h i y e |
kina	 k i n a |
suti	 s u t i |
so~añe	 s o ~ a ñ e |
sañalido	 s a ñ a l i d o |
sañalikina	 s a ñ a l i k i n a |
pinoa	 p i n o a |
pirayawara	 p i r a y a w a r a |
tuli~eteta	 t u l i ~ e t e t a |
yedo	 y e d o |
wa'imahsa	 w a ' i m a h s a |
yawU'U	 y a w U ' U |
ya[cidade]	 y a [ c i d a d e ] |
temedawi	 t e m e d a w i |
mahkadu,	 m a h k a d u , |
e'sa	 e ' s a |
ya'uduhku	 y a ' u d u h k u |
kenoano	 k e n o a n o |
ihitamU	 i h i t a m U |
o'õ	 o ' õ |
kaliña	 k a l i ñ a |
pUa	 p U a |
bohse	 b o h s e |
ihiedaha	 i h i e d a h a |
numia,	 n u m i a , |
ke'noedaye	 k e ' n o e d a y e |
kenoe	 k e n o e |
ña'tina	 ñ a ' t i n a |
pehkasã	 p e h k a s ã |
[musica]	 [ m u s i c a ] |
a'kãkodo	 a ' k ã k o d o |
bohka	 b o h k a |
ahãye	 a h ã y e |
yobahsa	 y o b a h s a |
mU'sa	 m U ' s a |
õpUna	 õ p U n a |
Uokuhuna	 U o k u h u n a |
ya'uduhkudo	 y a ' u d u h k u d o |
ka'medi	 k a ' m e d i |
nieti	 n i e t i |
p~ulipehede	 p ~ u l i p e h e d e |
bahsadopUta	 b a h s a d o p U t a |
[ou]	 [ o u ] |
kalisu	 k a l i s u |
puhtinagU	 p u h t i n a g U |
omukapU	 o m u k a p U |
daramUhtono	 d a r a m U h t o n o |
mUsa	 m U s a |
medena'a	 m e d e n a ' a |
yaye	 y a y e |
tikidog~U'U	 t i k i d o g ~ U ' U |
tcha	 t c h a |
bo'lea	 b o ' l e a |
ka'metana	 k a ' m e t a n a |
ni'kanosa	 n i ' k a n o s a |
[sapato]	 [ s a p a t o ] |
sañalina	 s a ñ a l i n a |
pehkasã,	 p e h k a s ã , |
koati	 k o a t i |
(tohoe)	 ( t o h o e ) |
bo'letõ	 b o ' l e t õ |
ke'a	 k e ' a |
wUhUa	 w U h U a |
kãlia	 k ã l i a |
tikanemale	 t i k a n e m a l e |
o	 o |
koãlipuabodo	 k o ã l i p u a b o d o |
ihigU	 i h i g U |
opalipua	 o p a l i p u a |
obado	 o b a d o |
yohsoali	 y o h s o a l i |
kaliwa'ka	 k a l i w a ' k a |
ña	 ñ a |
ma'adaya	 m a ' a d a y a |
tcho	 t c h o |
waliba	 w a l i b a |
yU'ume'na	 y U ' u m e ' n a |
yohsoalikodo	 y o h s o a l i k o d o |
pha	 p h a |
õbodo	 õ b o d o |
dia	 d i a |
u'utidodU	 u ' u t i d o d U |
wamenuati	 w a m e n u a t i |
duhi	 d u h i |
kame	 k a m e |
neanina	 n e a n i n a |
mahsataye	 m a h s a t a y e |
a	 a |
bohkalimU	 b o h k a l i m U |
bohkami	 b o h k a m i |
maniedalemaha	 m a n i e d a l e m a h a |
alikodo	 a l i k o d o |
dUadale	 d U a d a l e |
duhide	 d u h i d e |
ke'noale	 k e ' n o a l e |
yeitali	 y e i t a l i |
ahkoe	 a h k o e |
ihibodo	 i h i b o d o |
toode	 t o o d e |
neeha	 n e e h a |
tikodole	 t i k o d o l e |
hau	 h a u |
bohsa	 b o h s a |
miaye	 m i a y e |
yedagUna	 y e d a g U n a |
sanUaboaye	 s a n U a b o a y e |
~sanuhuno	 ~ s a n u h u n o |
mene,	 m e n e , |
buhkUdo	 b u h k U d o |
buhkudo,	 b u h k u d o , |
sanUawaye	 s a n U a w a y e |
nietimipe	 n i e t i m i p e |
thoe	 t h o e |
sanUa	 s a n U a |
bohkuayeto	 b o h k u a y e t o |
ka'medasa	 k a ' m e d a s a |
ihidole	 i h i d o l e |
yU'Ude	 y U ' U d e |
pahko	 p a h k o |
ni'ii	 n i ' i i |
topunota	 t o p u n o t a |
koinatha	 k o i n a t h a |
wiaduhkasa	 w i a d u h k a s a |
obodota	 o b o d o t a |
wametido	 w a m e t i d o |
wUdu	 w U d u |
o'osa	 o ' o s a |
obodo	 o b o d o |
wametiaga	 w a m e t i a g a |
mahkapa	 m a h k a p a |
UhsadUka	 U h s a d U k a |
pioayethaa,	 p i o a y e t h a a , |
waleee	 w a l e e e |
wakapama	 w a k a p a m a |
wayetha	 w a y e t h a |
UmUña	 U m U ñ a |
a'ta	 a ' t a |
buhueda'ye	 b u h u e d a ' y e |
Umuña	 U m u ñ a |
nimahape	 n i m a h a p e |
yUhkusa	 y U h k u s a |
yohamata	 y o h a m a t a |
ta'ye	 t a ' y e |
peopakana	 p e o p a k a n a |
sedo	 s e d o |
siowe	 s i o w e |
mayohata	 m a y o h a t a |
(ite)tide	 ( i t e ) t i d e |
yUkusapU,	 y U k u s a p U , |
minipawaye	 m i n i p a w a y e |
minipa'a	 m i n i p a ' a |
ye'gU	 y e ' g U |
ya'unahapu	 y a ' u n a h a p u |
bosedeko'o	 b o s e d e k o ' o |
kioro	 k i o r o |
ihikoaya	 i h i k o a y a |
õpalipe	 õ p a l i p e |
bosehdeko	 b o s e h d e k o |
wa'itimie	 w a ' i t i m i e |
[padrueira]	 [ p a d r u e i r a ] |
wa'itimede	 w a ' i t i m e d e |
wa'Unatha	 w a ' U n a t h a |
ya'unabUna	 y a ' u n a b U n a |
peh'ita	 p e h ' i t a |
neititanha	 n e i t i t a n h a |
ha'u	 h a ' u |
tikidogU	 t i k i d o g U |
toawi'i	 t o a w i ' i |
mena	 m e n a |
sa'apa	 s a ' a p a |
yoata'a	 y o a t a ' a |
yeitado	 y e i t a d o |
pahkodo	 p a h k o d o |
ka	 k a |
Uhtido	 U h t i d o |
ya'ye	 y a ' y e |
yUmahkU	 y U m a h k U |
buhtiale	 b u h t i a l e |
ma'hata	 m a ' h a t a |
yu	 y u |
mahkU	 m a h k U |
mu'u	 m u ' u |
kahtiale	 k a h t i a l e |
nia'ye	 n i a ' y e |
kahtiaha	 k a h t i a h a |
ma~i	 m a ~ i |
daletini	 d a l e t i n i |
ko'e	 k o ' e |
sinitumaye	 s i n i t u m a y e |
ya'uedamaye	 y a ' u e d a m a y e |
sinie	 s i n i e |
mapetha	 m a p e t h a |
kahtidokUle	 k a h t i d o k U l e |
sininopUma	 s i n i n o p U m a |
kiama	 k i a m a |
de'e	 d e ' e |
to'pU	 t o ' p U |
koe'mabUdUa	 k o e ' m a b U d U a |
tikodo	 t i k o d o |
kapU	 k a p U |
to'opU	 t o ' o p U |
tikidota	 t i k i d o t a |
ponatidikidoa	 p o n a t i d i k i d o a |
ihide.	 i h i d e . |
~o'o,	 ~ o ' o , |
~yeku:sumu:a	 ~ y e k u : s u m u : a |
yeetidide	 y e e t i d i d e |
ya'utatha	 y a ' u t a t h a |
~sa	 ~ s a |
wa'ado'onaha	 w a ' a d o ' o n a h a |
bu:hu:do	 b u : h u : d o |
ke'noetidi	 k e ' n o e t i d i |
pahku:	 p a h k u : |
ihidiphepu:	 i h i d i p h e p u : |
thia'iyeto	 t h i a ' i y e t o |
simi	 s i m i |
keo,	 k e o , |
keya,	 k e y a , |
po'tepu:~yoso	 p o ' t e p u : ~ y o s o |
wi'dia	 w i ' d i a |
po'tepu:	 p o ' t e p u : |
ihiyetia'ye	 i h i y e t i a ' y e |
topu:	 t o p u : |
hiyenaha	 h i y e n a h a |
ahkaiyenaha,	 a h k a i y e n a h a , |
pekasame'na	 p e k a s a m e ' n a |
tinidikinanaha	 t i n i d i k i n a n a h a |
moa,	 m o a , |
moare	 m o a r e |
duko'eye	 d u k o ' e y e |
te,	 t e , |
~o'osi	 ~ o ' o s i |
hi~gu:re	 h i ~ g u : r e |
pekilori	 p e k i l o r i |
yeemeendeyee	 y e e m e e n d e y e e |
tinapu:	 t i n a p u : |
pesikari	 p e s i k a r i |
kometiayee	 k o m e t i a y e e |
koma,	 k o m a , |
basi	 b a s i |
kame,	 k a m e , |
du:ka	 d u : k a |
wa'etiayenaha	 w a ' e t i a y e n a h a |
nu:ku:pu:le	 n u : k u : p u : l e |
~so'opu:,	 ~ s o ' o p u : , |
toa	 t o a |
simikeya	 s i m i k e y a |
wame,	 w a m e , |
ihiaye.	 i h i a y e . |
noa	 n o a |
hido	 h i d o |
~i'ye	 ~ i ' y e |
~yiaga,	 ~ y i a g a , |
~wakoaha	 ~ w a k o a h a |
sehedo	 s e h e d o |
ihididonaha,	 i h i d i d o n a h a , |
bu'ata	 b u ' a t a |
o'pu:lenaha	 o ' p u : l e n a h a |
bo'teya	 b o ' t e y a |
pi'tonaha	 p i ' t o n a h a |
du:ketikoyati	 d u : k e t i k o y a t i |
topu:naha	 t o p u : n a h a |
ahkaye	 a h k a y e |
ka'apu:naha	 k a ' a p u : n a h a |
bu'ataronaha	 b u ' a t a r o n a h a |
ahkayedee	 a h k a y e d e e |
wu:'u:se	 w u : ' u : s e |
duudo	 d u u d o |
bu'atado'o	 b u ' a t a d o ' o |
bu'awi'ayenaha	 b u ' a w i ' a y e n a h a |
bu'awi'i	 b u ' a w i ' i |
yosayekina	 y o s a y e k i n a |
oayetha	 o a y e t h a |
tidoretha	 t i d o r e t h a |
o'obu'ipeoyati	 o ' o b u ' i p e o y a t i |
bu:'o~gu:	 b u : ' o ~ g u : |
tatayenaha	 t a t a y e n a h a |
wa'misu:mu:alenaha	 w a ' m i s u : m u : a l e n a h a |
wa'misu:mu:ale	 w a ' m i s u : m u : a l e |
i'yaye	 i ' y a y e |
o'ayenaha	 o ' a y e n a h a |
wa'ikhuna	 w a ' i k h u n a |
maawi'a~ga	 m a a w i ' a ~ g a |
neethalikinale	 n e e t h a l i k i n a l e |
i'ye	 i ' y e |
o'okoyatonaha	 o ' o k o y a t o n a h a |
ihtiaye	 i h t i a y e |
ni'ta	 n i ' t a |
yu:'u:.	 y u : ' u : . |
i'yeda'koi'yato	 i ' y e d a ' k o i ' y a t o |
sayenaha	 s a y e n a h a |
~ye'e	 ~ y e ' e |
tinanaha	 t i n a n a h a |
moa	 m o a |
~ku:e	 ~ k u : e |
~ku:olikina	 ~ k u : o l i k i n a |
~o'opu:	 ~ o ' o p u : |
a'lipu:naha	 a ' l i p u : n a h a |
manduka	 m a n d u k a |
ka'apu:	 k a ' a p u : |
da'datinidikina	 d a ' d a t i n i d i k i n a |
ko'edikina	 k o ' e d i k i n a |
~gale	 ~ g a l e |
moale,	 m o a l e , |
moale	 m o a l e |
wa'mi~gu:nii	 w a ' m i ~ g u : n i i |
ya'waye	 y a ' w a y e |
tinalenaha	 t i n a l e n a h a |
wa'iku:na,	 w a ' i k u : n a , |
maawi'a	 m a a w i ' a |
netali~ya	 n e t a l i ~ y a |
ka'mesayenaha	 k a ' m e s a y e n a h a |
sikali~ga	 s i k a l i ~ g a |
kamesayenaha	 k a m e s a y e n a h a |
ahpekidole,	 a h p e k i d o l e , |
kamesabodoayenaha	 k a m e s a b o d o a y e n a h a |
saye~gu:	 s a y e ~ g u : |
~ye'e,	 ~ y e ' e , |
thoawa'a	 t h o a w a ' a |
koyatonaha	 k o y a t o n a h a |
thoadonaha	 t h o a d o n a h a |
~yamika'a	 ~ y a m i k a ' a |
thoakoyatonaha	 t h o a k o y a t o n a h a |
koediphe	 k o e d i p h e |
wa'adowa'yanato	 w a ' a d o w a ' y a n a t o |
pe'alimaa	 p e ' a l i m a a |
phayu~khulimaadu	 p h a y u ~ k h u l i m a a d u |
hikalitha	 h i k a l i t h a |
pai~khulimaa	 p a i ~ k h u l i m a a |
yuhku:	 y u h k u : |
a'kanu:tha	 a ' k a n u : t h a |
du:'u:	 d u : ' u : |
ihikoayato	 i h i k o a y a t o |
malenaha	 m a l e n a h a |
ke'noali	 k e ' n o a l i |
u:'mu:ali	 u : ' m u : a l i |
du	 d u |
i'hayetha	 i ' h a y e t h a |
tima	 t i m a |
dukuliya,	 d u k u l i y a , |
dukuliya	 d u k u l i y a |
wametidi	 w a m e t i d i |
maatha	 m a a t h a |
timale	 t i m a l e |
~pe'anolenaha	 ~ p e ' a n o l e n a h a |
ehsadotadonaha	 e h s a d o t a d o n a h a |
namono	 n a m o n o |
~ku:o	 ~ k u : o |
o'mamekoyato	 o ' m a m e k o y a t o |
tipu:le	 t i p u : l e |
tipu:lenaha	 t i p u : l e n a h a |
bu:hku:o	 b u : h k u : o |
o'opu:	 o ' o p u : |
boda~yoha	 b o d a ~ y o h a |
ko'tekaboa,	 k o ' t e k a b o a , |
o'mau:tha	 o ' m a u : t h a |
neo'mayenaha	 n e o ' m a y e n a h a |
neo'ma,	 n e o ' m a , |
doholiwi'do	 d o h o l i w i ' d o |
~wahti	 ~ w a h t i |
thakou:	 t h a k o u : |
pe'de	 p e ' d e |
~i'yadukuayetha	 ~ i ' y a d u k u a y e t h a |
~i'yaduhku	 ~ i ' y a d u h k u |
i'ye~gu:naha	 i ' y e ~ g u : n a h a |
i'ye~gu:naha,	 i ' y e ~ g u : n a h a , |
ne'omaa	 n e ' o m a a |
~pe'amenonaha,	 ~ p e ' a m e n o n a h a , |
~pe'a,	 ~ p e ' a , |
~pe'ame'nonaha	 ~ p e ' a m e ' n o n a h a |
nanalema'a	 n a n a l e m a ' a |
nehtolema'a	 n e h t o l e m a ' a |
bodamaadiha	 b o d a m a a d i h a |
timaapu:	 t i m a a p u : |
ta!	 t a ! |
pua,	 p u a , |
timaapu:naha	 t i m a a p u : n a h a |
moapu:du	 m o a p u : d u |
weopeo	 w e o p e o |
dohke~yoka'yenaha,	 d o h k e ~ y o k a ' y e n a h a , |
wehemamaha	 w e h e m a m a h a |
tipu:	 t i p u : |
so'o,	 s o ' o , |
nemahale	 n e m a h a l e |
dahpo~ka'anaha	 d a h p o ~ k a ' a n a h a |
"maa	 " m a a |
""mu:'u:	 " " m u : ' u : |
~i'yatiago	 ~ i ' y a t i a g o |
bu:hku:o,""	 b u : h k u : o , " " |
wehede~keyo~ka'a	 w e h e d e ~ k e y o ~ k a ' a |
maasaa	 m a a s a a |
~keenoakuka'ye	 ~ k e e n o a k u k a ' y e |
bu'awa'aye,	 b u ' a w a ' a y e , |
tete	 t e t e |
namonoku:ole	 n a m o n o k u : o l e |
tanakayenaha"	 t a n a k a y e n a h a " |
tana~ka'a	 t a n a ~ k a ' a |
pu:'u:le	 p u : ' u : l e |
dohkedahpo~ka'a	 d o h k e d a h p o ~ k a ' a |
wa'ayenaha	 w a ' a y e n a h a |
ehsakoyatonaha	 e h s a k o y a t o n a h a |
ku'tupu:naha,	 k u ' t u p u : n a h a , |
hididopu:,	 h i d i d o p u : , |
simikeyapu:naha	 s i m i k e y a p u : n a h a |
ba'anee	 b a ' a n e e |
pe'e,	 p e ' e , |
wu:hu:bahtidi	 w u : h u : b a h t i d i |
su'aye,	 s u ' a y e , |
wihpeni,	 w i h p e n i , |
su'aye	 s u ' a y e |
~sa'no	 ~ s a ' n o |
duhui	 d u h u i |
koyati,	 k o y a t i , |
duhiye	 d u h i y e |
ehsali	 e h s a l i |
mahali	 m a h a l i |
niayetha	 n i a y e t h a |
tinape'e	 t i n a p e ' e |
tialikido	 t i a l i k i d o |
masakayenaha	 m a s a k a y e n a h a |
esalimaha	 e s a l i m a h a |
masawa'wa'aye	 m a s a w a ' w a ' a y e |
"'ne,	 " ' n e , |
yota	 y o t a |
uhsu:atinika'akhoato	 u h s u : a t i n i k a ' a k h o a t o |
kidoa	 k i d o a |
nii,""	 n i i , " " |
ni'aye	 n i ' a y e |
tikinape	 t i k i n a p e |
duhiyekinape"	 d u h i y e k i n a p e " |
uhsu:a	 u h s u : a |
tinimahkakakhoa	 t i n i m a h k a k a k h o a |
~wahti,	 ~ w a h t i , |
pi'aa	 p i ' a a |
ehsayenaha	 e h s a y e n a h a |
namonoku:onaha	 n a m o n o k u : o n a h a |
~ku:nono	 ~ k u : n o n o |
ihikoyatha	 i h i k o y a t h a |
ne'e	 n e ' e |
doholiwi'ido	 d o h o l i w i ' i d o |
wi'ihalito	 w i ' i h a l i t o |
~sa'aka'le	 ~ s a ' a k a ' l e |
yetini	 y e t i n i |
mu:sa	 m u : s a |
tinapeatha	 t i n a p e a t h a |
"tina	 " t i n a |
sani~gu:tha	 s a n i ~ g u : t h a |
""moapu:'du	 " " m o a p u : ' d u |
nedeke~yo~ka'a"	 n e d e k e ~ y o ~ k a ' a " |
yedi'i	 y e d i ' i |
moapu:le	 m o a p u : l e |
mu:'u:pu:	 m u : ' u : p u : |
~yamioali	 ~ y a m i o a l i |
~o'ma~peata	 ~ o ' m a ~ p e a t a |
me'nonaha	 m e ' n o n a h a |
dekhotha	 d e k h o t h a |
nee,	 n e e , |
~theolemaa	 ~ t h e o l e m a a |
yu:'u:letha	 y u : ' u : l e t h a |
~kee~ka'a	 ~ k e e ~ k a ' a |
a'tali""	 a ' t a l i " " |
niaye"	 n i a y e " |
~o'malido	 ~ o ' m a l i d o |
mu:sale	 m u : s a l e |
a'lide	 a ' l i d e |
o'oli'inaha	 o ' o l i ' i n a h a |
wedi'i	 w e d i ' i |
ihiepe~gu:tha	 i h i e p e ~ g u : t h a |
mu:sa~gu:	 m u : s a ~ g u : |
wu:o	 w u : o |
yee~thiana,	 y e e ~ t h i a n a , |
i'aya	 i ' a y a |
tidenaha	 t i d e n a h a |
nealidenaha	 n e a l i d e n a h a |
duhkawa,	 d u h k a w a , |
duhkawape'o,	 d u h k a w a p e ' o , |
yenaha,	 y e n a h a , |
ke'noaye,	 k e ' n o a y e , |
wehtieda'ye	 w e h t i e d a ' y e |
sayeaye	 s a y e a y e |
tido.	 t i d o . |
ka'sedo	 k a ' s e d o |
peyali	 p e y a l i |
ihiditha	 i h i d i t h a |
sayeko'teaye,	 s a y e k o ' t e a y e , |
ka'sedo,	 k a ' s e d o , |
wametiye	 w a m e t i y e |
i'yõ	 i ' y õ |
dUhkali	 d U h k a l i |
bohkeda'yo	 b o h k e d a ' y o |
de'yUle	 d e ' y U l e |
nUnU	 n U n U |
bUdUtalikinagU'U	 b U d U t a l i k i n a g U ' U |
wame	 w a m e |
maliekina	 m a l i e k i n a |
wa'akamipe	 w a ' a k a m i p e |
wUhpU	 w U h p U |
koãkhU	 k o ã k h U |
(?)	 ( ? ) |
wa'ido	 w a ' i d o |
pa'muli	 p a ' m u l i |
yoatameyape	 y o a t a m e y a p e |
ñehkU	 ñ e h k U |
sUmUa	 s U m U a |
wU'se	 w U ' s e |
dohkali	 d o h k a l i |
so'õ	 s o ' õ |
dohkapUle	 d o h k a p U l e |
wU'Use	 w U ' U s e |
dohkalitidi	 d o h k a l i t i d i |
kU'maliti	 k U ' m a l i t i |
ihikã'ye	 i h i k ã ' y e |
ahko	 a h k o |
ihieti	 i h i e t i |
ehtoaye	 e h t o a y e |
ñoale	 ñ o a l e |
ihidido	 i h i d i d o |
(curucuí)tole	 ( c u r u c u í ) t o l e |
i'ñetibe'na	 i ' ñ e t i b e ' n a |
mesali	 m e s a l i |
buhuye	 b u h u y e |
wahpali	 w a h p a l i |
du'upeoye	 d u ' u p e o y e |
wahasto	 w a h a s t o |
pahka	 p a h k a |
puhtiadohko	 p u h t i a d o h k o |
mahsonikido	 m a h s o n i k i d o |
ehtoetidi	 e h t o e t i d i |
duita	 d u i t a |
tunumaedU'to	 t u n u m a e d U ' t o |
nikoa'ti	 n i k o a ' t i |
mihsi	 m i h s i |
so~e'da	 s o ~ e ' d a |
wa'ikhana	 w a ' i k h a n a |
nimahpe	 n i m a h p e |
sa'k~e	 s a ' k ~ e |
dahpo	 d a h p o |
mawe	 m a w e |
ko'ã	 k o ' ã |
ka'li	 k a ' l i |
ã'kapohtota	 ã ' k a p o h t o t a |
TU'otu	 T U ' o t u |
duhika'ye	 d u h i k a ' y e |
tU'otu	 t U ' o t u |
duhikã'a	 d u h i k ã ' a |
ka'meno	 k a ' m e n o |
phisõ'o	 p h i s õ ' o |
makatakuUto	 m a k a t a k u U t o |
po!	 p o ! |
ehtoakeñolide	 e h t o a k e ñ o l i d e |
dehsuye	 d e h s u y e |
i'ña	 i ' ñ a |
duhkueta	 d u h k u e t a |
niñati	 n i ñ a t i |
to'le	 t o ' l e |
wU'tUlide	 w U ' t U l i d e |
wa'sado	 w a ' s a d o |
malipe	 m a l i p e |
i'ñagUna	 i ' ñ a g U n a |
